"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
4922740,"Wang, T., Guan, R. L., Liu, M. C., Shen, X. F., Chen, J. Y., Zhao, M. G., Luo, W. J.","Lead Exposure Impairs Hippocampus Related Learning and Memory by Altering Synaptic Plasticity and Morphology During Juvenile Period",2016,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Long Term Potentiation",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 7 
100 ppm, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"PND 24 to PND 56",,,"Long-Term (greater than 30 days)",32,,"PND 60-66","PND 56:
11 ug/L (1.1 ug/dL) for Control
133 ug/L (13.3 ug/dL) for 100 ppm","1.1 ug/dL for Control, 13.3 ug/dL for 100 ppm - PND 56",Yes,
4922740,"Wang, T., Guan, R. L., Liu, M. C., Shen, X. F., Chen, J. Y., Zhao, M. G., Luo, W. J.","Lead Exposure Impairs Hippocampus Related Learning and Memory by Altering Synaptic Plasticity and Morphology During Juvenile Period",2016,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Open Field Test",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 7 
100 ppm, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"PND 24 to PND 56",,,"Long-Term (greater than 30 days)",32,,"PND 60-66","PND 56:
11 ug/L (1.1 ug/dL) for Control
133 ug/L (13.3 ug/dL) for 100 ppm","1.1 ug/dL for Control, 13.3 ug/dL for 100 ppm - PND 56",Yes,"Pb exposure significantly reduced the time spent in the center of the arena."
4922740,"Wang, T., Guan, R. L., Liu, M. C., Shen, X. F., Chen, J. Y., Zhao, M. G., Luo, W. J.","Lead Exposure Impairs Hippocampus Related Learning and Memory by Altering Synaptic Plasticity and Morphology During Juvenile Period",2016,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Neuronal Morphology",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 7 
100 ppm, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"PND 24 to PND 56",,,"Long-Term (greater than 30 days)",32,,"PND 60-66","PND 56:
11 ug/L (1.1 ug/dL) for Control
133 ug/L (13.3 ug/dL) for 100 ppm","1.1 ug/dL for Control, 13.3 ug/dL for 100 ppm - PND 56",Yes,
4927969,"Zhang, J., Yan, C., Wang, S., Hou, Y., Xue, G., Zhang, L.","Chrysophanol attenuates lead exposure-induced injury to hippocampal neurons in neonatal mice",2014,Hester.Kirstin@epa.gov,2,"Cognitive Function","Passive Avoidance Test",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (distilled water), M/F, n = 12
0.4% Pb solution, M/F, n = 13","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",43,"It is unclear if males, females, or both were used for outcome assessment. Sample size represents the individual pups. Five dams produced the pups for each group, but it is unclear how many litters the pups were selected from.","PND 29, 30","PND 36:
18.5 ug/L (1.9 ug/dL) for Control
136.7 ug/L (13.7 ug/dL) for 0.4% Solution","PND 36:
1.9 ug/dL for Control
13.7 ug/dL for 0.4% Solution",Yes,
4927969,"Zhang, J., Yan, C., Wang, S., Hou, Y., Xue, G., Zhang, L.","Chrysophanol attenuates lead exposure-induced injury to hippocampal neurons in neonatal mice",2014,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (distilled water), M/F, n = 12
0.4% solution, M/F, n = 13","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",43,"It is unclear if males, females, or both were used for outcome assessment. Sample size represents the individual pups. Five dams produced the pups for each group, but it is unclear how many litters the pups were selected from.","PND 31-35","PND 36:
18.5 ug/L (1.9 ug/dL) for Control
136.7 ug/L (13.7 ug/dL) for 0.4% Solution","PND 36:
1.9 ug/dL for Control
13.7 ug/dL for 0.4% Solution",Yes,
4928951,"Li, N., Qiao, M., Zhao, Q., Zhang, P., Song, L., Li, L., Cui, C.","Effects of maternal lead exposure on RGMa and RGMb expression in the hippocampus and cerebral cortex of mouse pups",2016,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (deionized water), M/F, n = 10
0.1% (1000 ppm), M/F, n = 10
0.2% (2000 ppm), M/F, n = 10
0.5% (5000 ppm), M/F, n = 10","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 21","PND 21:
8.27 ug/L (0.827 ug/dL) for Control
41.05 ug/L (4.11 ug/dL) for 0.1% solution
82.93 ug/L (8.29 ug/dL) for 0.2% solution
105.33 ug/L (10.53 ug/dL) for 0.5% solution","PND 21:
0.827 ug/dL for Control
4.11 ug/dL for 0.1% solution
8.29 ug/dL for 0.2% solution
10.53 ug/dL for 0.5% solution",Yes,
4929758,"Sobolewski, M., Varma, G., Adams, B., Anderson, D. W., Schneider, J. S., Cory-Slechta, D. A.","Developmental Lead Exposure and Prenatal Stress Result in Sex-Specific Reprograming of Adult Stress Physiology and Epigenetic Profiles in Brain",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Epigenetics,Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (deionized water), M/F, n = 6-12
100 ppm, M/F, n = 6-12","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -60 to PND 21",,,"Long-Term (greater than 30 days)",102,"also included groups that received prenatal stress from GD 11-18 using restraint to look at coexposures","PND 60","PND 6-7:
0.37 ug/dL for Control
 10.2 ug/dL for 100 ppm","PND 6-7:
0.37 ug/dL for Control
 10.2 ug/dL for 100 ppm",Yes,
4932775,"Mousa, A. M. A., Elshahat, M. A., Renno, W. M.","Effect of developmental lead exposure on neurogenesis and cortical neuronal morphology in Wistar rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,No,"Exposure Assessment or Assignment",,,"Blood lead levels are only reported for the treatment group, no control blood lead values are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4933511,", H., Mao, J., Zhou, S., Rao Barkur, R., Bairy, L. K.","Evaluation of passive avoidance learning and spatial memory in rats exposed to low levels of lead during specific periods of early brain development",2015,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (untreated), M, n = 6
0.2% solution - Gestational, M, n = 6
0.2% solution - Lactational , M, n = 6 
0.2% solution -  Gestation + Lactation , M, n = 6
0.2% solution - Pre-gestational, M, n = 6","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -30 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",42,"This study examined the effects of Pb exposure during different developmental windows. 

Pre-gestation group was exposed from GD -30 to GD 1 (30 days)
Gestation group was exposed from GD 1 to PND 1 (21 days)
Lactation group was exposed from PND 1 to PND 21 (20 days)
Gestation + lactation group was exposed from GD 1 to PND 21 (42 days)

Only male offspring were examined.","PND 30 to PND 36","PND 22:
0.18 ug/dL for Control
3.02 ug/dL for 0.2% solution - Pre-gestation
5.30 ug/dL for 0.2% solution - Gestational
26.65 ug/dL for 0.2% solution - Lactational
32.0 ug/dL for 0.2% solution - Gestation+Lactation","PND 22:
0.18 ug/dL for Control
3.02 ug/dL for 0.2% solution - Pre-gestation
5.30 ug/dL for 0.2% solution - Gestational
26.65 ug/dL for 0.2% solution - Lactational
32.0 ug/dL for 0.2% solution - Gestation+Lactation",Yes,
4933511,", H., Mao, J., Zhou, S., Rao Barkur, R., Bairy, L. K.","Evaluation of passive avoidance learning and spatial memory in rats exposed to low levels of lead during specific periods of early brain development",2015,Anderson.Timothy@epa.gov,2,"Cognitive Function","Passive Avoidance Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (untreated), M, n = 6
0.2% solution - Gestational, M, n = 6
0.2% solution - Lactational , M, n = 6 
0.2% solution -  Gestation + Lactation , M, n = 6
0.2% solution - Pre-gestational, M, n = 6","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -30 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",42,"This study examined the effects of Pb exposure during different developmental windows. 

Pre-gestation group was exposed from GD -30 to GD 1 (30 days)
Gestation group was exposed from GD 1 to PND 1 (21 days)
Lactation group was exposed from PND 1 to PND 21 (20 days)
Gestation + lactation group was exposed from GD 1 to PND 21 (42 days)

Only male offspring were examined.","PND 26, 27, 28","PND 22:
0.18 ug/dL for Control
3.02 ug/dL for 0.2% solution - Pre-gestation
5.30 ug/dL for 0.2% solution - Gestational
26.65 ug/dL for 0.2% solution - Lactational
32.0 ug/dL for 0.2% solution - Gestation+Lactation","PND 22:
0.18 ug/dL for Control
3.02 ug/dL for 0.2% solution - Pre-gestation
5.30 ug/dL for 0.2% solution - Gestational
26.65 ug/dL for 0.2% solution - Lactational
32.0 ug/dL for 0.2% solution - Gestation+Lactation",Yes,
4933518,"Barkur, R. R., Bairy, L. K.","Histological study on hippocampus, amygdala and cerebellum following low lead exposure during prenatal and postnatal brain development in rats",2016,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water with acetic acid), M/F, n = 8 
0.2% solution, pre-gestation only (PG), M/F, n = 8
0.2% solution, gestation only (G), M/F, n = 8
0.2% solution, lactation (L),  M/F, n = 8
0.2% solution, gestation and lactation (GL), M/F, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -30 to PND 21",,,"Long-Term (greater than 30 days)",72,"This study evaluates temporality of lead exposure, including groups dosed only pre-gestation, those dosed during gestation only, during lactation only, or combined exposure and compares impacts on neuron counts.","PND 30","PND 22:
0.5 ug/dL  for  Control
9.4 ug/dL for 0.2% solution, pre-gestation only (PG)
16.6 ug/dL for 0.2% solution, gestation only (G)
30.1 ug/dL for 0.2% solution, lactation (L)
33.4 ug/dL for  0.2% solution, gestation and lactation (GL)","PND 22:
0.5 ug/dL  for  Control
9.4 ug/dL for 0.2% solution, pre-gestation only (PG)
16.6 ug/dL for 0.2% solution, gestation only (G)
30.1 ug/dL for 0.2% solution, lactation (L)
33.4 ug/dL for  0.2% solution, gestation and lactation (GL)",Yes,"Looks at impact of exposure on developmental stages"
4933749,"Barkur, R. R., Rao, M. S., Bairy, L. K.","Low lead exposure during foetal and early postnatal life impairs passive avoidance learning in adulthood in rats",2011,Anderson.Timothy@epa.gov,2,"Cognitive Function","Passive Avoidance Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 9
0.2% solution (w/v), M, n  =9","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21","Short-Term (less than or equal to 30 days)",21,,,,"PND 120","PND 120:
0.24 ug/dL for control
0.47 ug/dL for 0.2% solution","PND 120:
0.24 ug/dL for control
0.47 ug/dL for 0.2% solution",Yes,"Mice were developmentally exposed to Pb then run through passive avoidance testing on PND 25 and PND 120. The BLLs at PND 25 were higher than 30 ug/dL and thus were not extracted here."
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Open Field Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 8
0.2% (p/v) solution (distilled water), M/F, n = 9 - Intermittent exposure
0.2% (p/v) solution, M/F, n = 9 - Continuous exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"Intermittent Exposure: GD 7 to PND 84, PND 140 to PND 196
Continuous Exposure: GD 7 to PND 196",,,"Long-Term (greater than 30 days)",211,"Pregnant rats were exposed to Pb via drinking water, after weaning pups were exposed to Pb via their own drinking water. The continuous exposure group was exposed continuously from GD 7 to PND 196, while the intermittent exposure group underwent an abstinence period (no Pb) from PND 84 to PND 140.","PND 189","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)",Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,Anderson.Timothy@epa.gov,2,"Internalizing Behaviors","Elevated Plus Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 8
0.2% (p/v) solution (distilled water), M/F, n = 9 - Intermittent exposure
0.2% (p/v) solution, M/F, n = 9 - Continuous exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"Intermittent Exposure: GD 7 to PND 84, PND 140 to PND 196
Continuous Exposure: GD 7 to PND 196",,,"Long-Term (greater than 30 days)",211,"Pregnant rats were exposed to Pb via drinking water, after weaning pups were exposed to Pb via their own drinking water. The continuous exposure group was exposed continuously from GD 7 to PND 196, while the intermittent exposure group underwent an abstinence period (no Pb) from PND 84 to PND 140.","PND 189","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)",Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,Anderson.Timothy@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 8
0.2% (p/v) solution (distilled water), M/F, n = 9 - Intermittent exposure
0.2% (p/v) solution, M/F, n = 9 - Continuous exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"Intermittent Exposure: GD 7 to PND 84, PND 140 to PND 196
Continuous Exposure: GD 7 to PND 196",,,"Long-Term (greater than 30 days)",211,"Pregnant rats were exposed to Pb via drinking water, after weaning pups were exposed to Pb via their own drinking water. The continuous exposure group was exposed continuously from GD 7 to PND 196, while the intermittent exposure group underwent an abstinence period (no Pb) from PND 84 to PND 140.","PND 189","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)",Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,Anderson.Timothy@epa.gov,2,"Brain Structure and Function","Brain Histopathology",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 8
0.2% (p/v) solution (distilled water), M/F, n = 9 - Intermittent exposure
0.2% (p/v) solution, M/F, n = 9 - Continuous exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"Intermittent Exposure: GD 7 to PND 84, PND 140 to PND 196
Continuous Exposure: GD 7 to PND 196",,,"Long-Term (greater than 30 days)",211,"Pregnant rats were exposed to Pb via drinking water, after weaning pups were exposed to Pb via their own drinking water. The continuous exposure group was exposed continuously from GD 7 to PND 196, while the intermittent exposure group underwent an abstinence period (no Pb) from PND 84 to PND 140.","PND 189","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)","PND 196:
<0.1 ug/dL for Control
18.8 ug/dL for 0.2% (Intermittent)
24.4 ug/dL for 0.2% (Continuous)",Yes,"Following sacrifice, the authors assessed neuronal integrity via neuronal nuclear antigen (NeuN) staining (IHC) in the hippocampus. They also examined GFAP, Syn and Iba-1 as measures of neuroinflammation and glial activity (these are relevant for biological plausibility)."
4985363,"Verma, M., Schneider, J. S.","Strain specific effects of low level lead exposure on associative learning and memory in rats",2017,Hester.Kirstin@epa.gov,2,"Cognitive Function","Trace Fear Conditioning",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control, M/F, n = 32 (16/16)
150 ppm chow (PERI), M/F, n = 32 (16/16)
150 ppm chow (EPN), M/F, n = 32 (16/16)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PERI: GD -14 to PND 21
EPN: PND 0 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",57,"Study used two exposure groups with the same Pb dose: PERI (long-term developmental) and EPN (short-term developmental). Only one male and one female from each litter were used for behavioral experiments, and were analyzed separately.","PND 56, 57, 65","PND 14 - PERI Males:
<LOD for Control
5.65 ug/dL for 150 ppm

PND 14 - PERI Females:
<LOD for Control
4.38 ug/dL for 150 ppm 

PND 14 - EPN Males:
<LOD for Control
5.95 ug/dL for 150 ppm

PND 14 - EPN Females:
<LOD for Control
5.38 ug/dL for 150 ppm

PND 65 - PERI Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - PERI Females:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Females:
<LOD for Control
<LOD for 150 ppm","PND 14 - PERI Males:
<LOD for Control
5.65 ug/dL for 150 ppm

PND 14 - PERI Females:
<LOD for Control
4.38 ug/dL for 150 ppm 

PND 14 - EPN Males:
<LOD for Control
5.95 ug/dL for 150 ppm

PND 14 - EPN Females:
<LOD for Control
5.38 ug/dL for 150 ppm

PND 65 - PERI Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - PERI Females:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Females:
<LOD for Control
<LOD for 150 ppm",Yes,"Study compared the effect of Pb exposure at two different sensitive stages (pre-gestation to postnatal or postnatal only). Study also compared developmental effects of Pb in two rat strains (Long-Evans and Sprague-Dawley), and found significant decreases in percent freezing (indicative of decreased associative memory) in LE animals but not SD animals."
4985363,"Verma, M., Schneider, J. S.","Strain specific effects of low level lead exposure on associative learning and memory in rats",2017,Hester.Kirstin@epa.gov,2,"Cognitive Function","Trace Fear Conditioning",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control, M/F, n = 36 (18/18)
150 ppm Chow (PERI), M/F, n = 36 (18/18)
150 ppm Chow (EPN), M/F, n = 36 (18/18)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PERI: GD -14 to PND 21
EPN: PND 0 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",57,"Study used two exposure groups with the same Pb dose: PERI (long-term developmental) and EPN (short-term developmental). 
Only one male and one female from each litter were used for behavioral experiments, and were analyzed separately.","PND 56, 57, 65","PND 14 - PERI Males:
<LOD for Control
5.425 ug/dL for 150 ppm

PND 14 - PERI Females:
<LOD for Control
4.521 ug/dL for 150 ppm

PND 14 - EPN Males:
<LOD for Control
5.45 ug/dL for 150 ppm

PND 14 - EPN Females:
<LOD for Control
5.06 ug/dL for 150 ppm

PND 65 - PERI Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - PERI Females:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Females:
<LOD for Control
<LOD for 150 ppm","PND 14 - PERI Males:
<LOD for Control
5.425 ug/dL for 150 ppm

PND 14 - PERI Females:
<LOD for Control
4.521 ug/dL for 150 ppm

PND 14 - EPN Males:
<LOD for Control
5.45 ug/dL for 150 ppm

PND 14 - EPN Females:
<LOD for Control
5.06 ug/dL for 150 ppm

PND 65 - PERI Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - PERI Females:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Males:
<LOD for Control
<LOD for 150 ppm

PND 65 - EPN Females:
<LOD for Control
<LOD for 150 ppm",Yes,"Study compared the effect of Pb exposure at two different sensitive stages (pre-gestation to postnatal or postnatal only). 
Study also compared developmental effects of Pb in two rat strains (Long-Evans and Sprague-Dawley), and found significant decreases in percent freezing (indicative of decreased associative memory) in LE animals but not SD animals."
